athleteID,name,position,draftInfo,team,receptions,receiving_yards,receiving_td,solo_tackles,forced_fumbles,interceptions,passed_defended,rush_att,rush_yds,rush_td,sacks,passing_yards,passing_td
3115255,Brandon Powell,WR,undrafted,MIN,24,156,0,0,0,0,0,0,0,0,0,0,0
3125248,Jeremy Reaves,S,undrafted,WSH,0,0,0,0,0,0,1,0,0,0,0,0,0
3931399,Justin Reid,S,"2018: Rd 3, Pk 68 (HOU)",KC,0,0,0,0,0,0,7,0,0,0,0,0,0
3925357,Calvin Ridley,WR,"2018: Rd 1, Pk 26 (ATL)",JAX,31,281,2,0,0,0,0,0,0,0,0,0,0
3051439,Boston Scott,RB,"2018: Rd 6, Pk 201 (NO)",PHI,0,0,0,0,0,0,0,54,217,3,0,0,0
3122168,Trent Sherfield,WR,undrafted,BUF,30,417,2,0,0,0,0,0,0,0,0,0,0
3115314,Cam Sims,WR,undrafted,LV,8,89,0,0,0,0,0,0,0,0,0,0,0
3915189,Roquan Smith,LB,"2018: Rd 1, Pk 8 (CHI)",BAL,0,0,0,103,0,0,0,0,0,0,4.5,0,0
3128451,Tre'Quan Smith,WR,"2018: Rd 3, Pk 91 (NO)",NO,19,278,1,0,0,0,0,0,0,0,0,0,0
3155188,Vyncint Smith,WR,undrafted,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
3129446,Robert Spillane,LB,undrafted,LV,0,0,0,52,0,0,0,0,0,0,1,0,0
3932442,Equanimeous St. Brown,WR,"2018: Rd 6, Pk 207 (GB)",CHI,21,323,1,0,0,0,0,0,0,0,0,0,0
3116679,M.J. Stewart,S,"2018: Rd 2, Pk 53 (TB)",HOU,0,0,0,0,0,0,1,0,0,0,0,0,0
3128429,Courtland Sutton,WR,"2018: Rd 2, Pk 40 (DEN)",DEN,64,829,2,0,0,0,0,0,0,0,0,0,0
3921564,Auden Tate,WR,"2018: Rd 7, Pk 253 (CIN)",ARI,3,39,1,0,0,0,0,0,0,0,0,0,0
3894901,Ezekiel Turner,LB,undrafted,ARI,0,0,0,12,1,0,0,0,0,0,0,0,0
